難易度,たんいど,difficulty degree
成立,せいりつ,materialization(coming into existence)
助言,じょげん,Advice
情報,じょうほう,information
提供,ていきょう,providing
頼り,たより,reliance(on onself)
構造,こうぞう,structure(posture+create)
区別,くべつ,distinction
合わせる,あわせる,to match(tr)
所在,しょぞん,location(on a map)
将来,しょうらい,future
位置,いち,position(location)
様子,ようす,state
意図,いと,intention(intentional)
始動,しどう,starting(a machine)
一般的,いっぱんてき,broad(question)
想像,そうぞう,guess(supposition)
時速,じそく,speed(per h)
副次的,ふくじてき,secondary
見分ける,みわける,to tell apart tr(one from another)
渡る,わたる,to cover(to extend)
添加,てんか,addition
累加,るいか,progressive increase
充電,じゅうでん,charge(battery state)
電池,でんち,battery
詐欺師,さぎし,scammer
確立された接続,かくりつされたせつぞく,establish connection	
切断された接続,せつだんされたせつぞく,interrupted connection
発信者,はっしんしゃ,caller number
信号,しんごう,signal
受信エリア,じゅしんえりあ,network coverage area
通知,つうち,notification
発信者の身元,はっしんしゃのみもと,caller identity		
自撮り,じどり,selfie
電話を切る,でんわをきる,hang up the phone
充電器,じゅうでんき,charger
通話先,つうわさき,call destination
通話元,つうわもと,call origin
発信,はっしん,outgoing call
着信,ちゃくしん,incoming call