to absorb something,「を吸収する」,きゅうしゅうする
to accelerate,「が加速」,かそくする
to access something,「をアクセス」,あくせすする
to accompany,「お供する」,おともする
to act like someone,「振る舞う」,ふるまう
to act violently,「が暴力的」,ぼうりょくてきにふるまう
to sum up quantities,「を足す」,たす
to add something,「を加える」,くわえる
to adjust something,「を調整する」,ちょうせいする
to get affected,「影響を受ける」,えいきょうをうける
to have same opinion about something,「を同意する」,どういする
to agree to favour one thing over another,「賛成する」,さんせいする,
to align with something,「を合わせる」,あわせる
to allow something,「を許可する」,きょかする
to analyse something,「を分析する」,ぶんせきする
to answer someone,「を答える」,こたえる
to apologize,「が謝る」,あやまる
to appear,「が現れる」,あらわれる
to approach something,～に近づく,ちかづく
to put things in their proper place,「片付ける」,かたづける
to arrest someone,逮捕する,たいほする,
to attach something to something,「～を～に付ける」,つける
to attract something,「～を引き付ける」,ひきつける
to avoid something,「～を避ける」,さける
to be emotionally attracted to someone,「～に憧れる」,あこがれる
to be confident about something,「～について自信を持つ」,じしんをもつ
to be in a difficult situation,[が困る],こまる
to be piled up,「積まれる」,つまれる
to be similar to something,「に似る」,にる
to be stacked up,「が重なる」,かさなる
to become sad,「悲しくなる」,かなしくなる
to begin something,「～を始める」,はじめる
to behave like something,「～のように振る舞う」,ふるまう
to believe in something,「～を信じる」,しんじる
to bend something,「～を曲げる」,まげる
to bite something,「を噛み付く」,かみつく
to blame someone,「誰かを責める」,せめる
to blink,「瞬く」,またたく
to borrow something,「借りる」,かりる
to break something,「～を壊す」,こわす
to breath,「が呼吸する」,こきゅうする
to build something,「～を建てる」,たてる
to bully someone,「誰かをいじめる」,いじめる
to burn something,「～を燃やす」,もやす
to burry something,「～を埋める」,うめる
to capture something,「～を捕まえる」,つかまえる
to chase someone,「誰かを追いかける」,おいかける
to clap,拍手する,はくしゅする
to make something tidy,「～を掃除する」,そうじする
to close something,「～を閉じる」,とじる